"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","isTrain"
1,4.11087386417331,"RL",4.18965474202643,9.04204005654448,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",5.28320372873799,"Gd","TA","PConc","Gd","TA","No","GLQ",6.56103066589657,"Unf",0,5.01727983681492,856,"GasA","Ex","Y","SBrkr",6.75343791859778,6.75110146893676,0,7.44483327389219,1,0,2,1,3,0.693147180559945,"Gd",8,"Typ",0,"None","Attchd",2003,"RFn",2,548,"TA","TA","Y",0,4.12713438504509,0,0,0,0,"None","None","None",0,2,2008,"WD","Normal",12.2476991163726,1
2,3.04452243772342,"RL",4.39444915467244,9.16962253869762,"Pave","None","Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",6,8,1976,1976,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",6.88653164253051,"Unf",0,5.65248918026865,1262,"GasA","Ex","Y","SBrkr",7.14124512235049,0,0,7.14124512235049,0,0.693147180559945,2,0,3,0.693147180559945,"TA",6,"Typ",1,"TA","Attchd",1976,"RFn",2,460,"TA","TA","Y",5.70044357339069,0,0,0,0,0,"None","None","None",0,5,2007,"WD","Normal",12.1090164423137,1
3,4.11087386417331,"RL",4.23410650459726,9.32821229257107,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",5.09375020080676,"Gd","TA","PConc","Gd","TA","Mn","GLQ",6.18826412308259,"Unf",0,6.07534603108868,920,"GasA","Ex","Y","SBrkr",6.82546003625531,6.76503897678054,0,7.48829351515943,1,0,2,1,3,0.693147180559945,"Gd",6,"Typ",1,"TA","Attchd",2001,"RFn",2,608,"TA","TA","Y",0,3.76120011569356,0,0,0,0,"None","None","None",0,9,2008,"WD","Normal",12.3171711672987,1
4,4.26267987704132,"RL",4.11087386417331,9.16440114003474,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,5,1915,1970,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","Gd","No","ALQ",5.37989735354046,"Unf",0,6.29341927884648,756,"GasA","Gd","Y","SBrkr",6.86901445066571,6.62936325343745,0,7.4489161025442,1,0,1,0,3,0.693147180559945,"Gd",7,"Typ",1,"Gd","Detchd",1998,"Unf",3,642,"TA","TA","Y",0,3.58351893845611,5.60947179518496,0,0,0,"None","None","None",0,2,2006,"WD","Abnorml",11.8494048444231,1
5,4.11087386417331,"RL",4.44265125649032,9.56528381773677,"Pave","None","IR1","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",5.86078622346587,"Gd","TA","PConc","Gd","TA","Av","GLQ",6.48616078894409,"Unf",0,6.19644412779452,1145,"GasA","Ex","Y","SBrkr",7.04403289727469,6.96034772910131,0,7.69575799055476,1,0,2,1,4,0.693147180559945,"Gd",9,"Typ",1,"TA","Attchd",2000,"RFn",3,836,"TA","TA","Y",5.26269018890489,4.44265125649032,0,0,0,0,"None","None","None",0,12,2008,"WD","Normal",12.4292201968364,1
6,3.93182563272433,"RL",4.45434729625351,9.55506418479516,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","Wood","Gd","TA","No","GLQ",6.59714570188665,"Unf",0,4.17438726989564,796,"GasA","Ex","Y","SBrkr",6.68085467879022,6.34035930372775,0,7.21744343169653,1,0,1,1,1,0.693147180559945,"TA",5,"Typ",0,"None","Attchd",1993,"Unf",2,480,"TA","TA","Y",3.71357206670431,3.43398720448515,0,5.77144112313002,0,0,"None","MnPrv","Shed",6.55250788703459,10,2009,"WD","Normal",11.8706069022246,1
7,3.04452243772342,"RL",4.33073334028633,9.21880445038831,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",5.23110861685459,"Gd","TA","PConc","Ex","TA","Av","GLQ",7.22256601882217,"Unf",0,5.76205138278018,1686,"GasA","Ex","Y","SBrkr",7.43543801981455,0,0,7.43543801981455,1,0,2,0,3,0.693147180559945,"Gd",7,"Typ",1,"Gd","Attchd",2004,"RFn",2,636,"TA","TA","Y",5.54517744447956,4.06044301054642,0,0,0,0,"None","None","None",0,8,2007,"WD","Normal",12.634606283893,1
8,4.11087386417331,"RL",4.23410650459726,9.24792513230345,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,1973,"Gable","CompShg","HdBoard","HdBoard","Stone",5.48479693349065,"TA","TA","CBlock","Gd","TA","Mn","ALQ",6.75693238924755,"BLQ",3.49650756146648,5.37989735354046,1107,"GasA","Ex","Y","SBrkr",7.01031186730723,6.89162589705225,0,7.64539769942863,1,0,2,1,3,0.693147180559945,"TA",7,"Typ",2,"TA","Attchd",1973,"RFn",2,484,"TA","TA","Y",5.46383180502561,5.32300997913841,5.43372200355424,0,0,0,"None","None","Shed",5.86078622346587,11,2009,"WD","Normal",12.2060776455177,1
9,3.93182563272433,"RM",3.95124371858143,8.71948076085107,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,6.8596149036542,952,"GasA","Gd","Y","FuseF",6.93049476595163,6.62406522779989,0,7.48155570190952,0,0,2,0,2,1.09861228866811,"TA",8,"Min1",2,"TA","Detchd",1931,"Unf",2,468,"Fa","TA","Y",4.51085950651685,0,5.32787616878958,0,0,0,"None","None","None",0,4,2008,"WD","Abnorml",11.7745279008585,1
10,5.25227342804663,"RL",3.93182563272433,8.91206909797013,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","GLQ",6.74758652682932,"Unf",0,4.94875989037817,991,"GasA","Ex","Y","SBrkr",6.98286275146894,0,0,6.98286275146894,1,0,1,0,2,1.09861228866811,"TA",5,"Typ",2,"TA","Attchd",1939,"RFn",1,205,"Gd","TA","Y",0,1.6094379124341,0,0,0,0,"None","None","None",0,1,2008,"WD","Normal",11.6784483779882,1
