"Id","MSSubClass","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SalePrice","cAlley","cBldgType","cBsmtCond","cBsmtExposure","cBsmtFinType1","cBsmtFinType2","cBsmtQual","cCentralAir","cCondition2","cElectrical","cExterCond","cExterQual","cFence","cFireplaceQu","cFoundation","cFunctional","cGarageCond","cGarageFinish","cGarageQual","cGarageType","cHeating","cHeatingQC","cKitchenQual","cLandContour","cLandSlope","cLotConfig","cLotShape","cMasVnrType","cMiscFeature","cMSSubClass","cMSZoning","cPavedDrive","cPoolQC","cRoofMatl","cRoofStyle","cSaleCondition","cSaleType","cStreet","cUtilities","cNeighborhood","cExterior1st","cExterior2nd","cHouseStyle","BRBR","GLARooms","GQGC","GRGR","OQEC","OQFB","OQGLA","OQTBSF","OQYB","OQYR","logSalePrice","logX1stFlrSF","logX2ndFlrSF","logX3SsnPorch","logBsmtFinSF1","logBsmtFinSF2","logBsmtUnfSF","logEnclosedPorch","logGarageArea","logGrLivArea","logLotArea","logLotFrontage","logLowQualFinSF","logMasVnrArea","logMiscVal","logOpenPorchSF","logPoolArea","logScreenPorch","logTotalBsmtSF","logWoodDeckSF"
1,60,65,8450,7,5,2003,2003,196,706,0,150,856,856,854,0,1710,1,0,2,1,3,1,8,0,2003,2,548,0,61,0,0,0,0,0,2,2,208500,0,1,3,0,5,5,4,1,0,1,3,4,0,0,1,0,3,1,3,1,1,5,4,1,1,0,1,1,0,1,3,1,0,0,0,3,3,1,1,0,2,2,2.10051,0,5.36947456086437,1.94591014905531,0.760536076273503,3.09104245335832,2.70805020110221,9.39024233725137,8.69834740045819,9.54838280376691,9.54838280376691,12.2476991163726,6.75343791859778,6.75110146893676,0,6.56103066589657,0,5.01727983681492,0,6.30809844150953,7.44483327389219,9.04204005654448,4.18965474202643,0,5.28320372873799,0,4.12713438504509,0,0,0,0
2,20,80,9600,6,8,1976,1976,0,978,0,284,1262,1262,0,0,1262,0,1,2,0,3,1,6,1,1976,2,460,298,0,0,0,0,0,0,5,3,181500,0,1,3,3,3,5,4,1,0,1,3,3,0,3,0,0,3,1,3,1,1,5,3,1,1,0,1,0,0,1,3,1,0,0,0,3,3,1,1,0,1,1,1.75985,-0.287682072451781,5.35343666576912,1.94591014905531,0.610258579479544,2.94443897916644,2.56494935746154,8.93234456911382,8.93234456911382,9.38067368945807,9.38067368945807,12.1090164423137,7.14124512235049,0,0,6.88653164253051,0,5.65248918026865,0,6.13339804299665,7.14124512235049,9.16962253869762,4.39444915467244,0,0,0,0,0,0,0,5.70044357339069
3,60,68,11250,7,5,2001,2002,162,486,0,434,920,920,866,0,1786,1,0,2,1,3,1,6,1,2001,2,608,0,42,0,0,0,0,0,9,2,223500,0,1,3,1,5,5,4,1,0,1,3,4,0,3,1,0,3,1,3,1,1,5,4,1,1,0,0,1,0,1,3,1,0,0,0,3,3,1,1,0,2,2,2.10051,0,5.69932812430682,1.94591014905531,0.783930685224943,3.09104245335832,2.70805020110221,9.433723894495,8.77043908654689,9.54738387396569,9.54788346359889,12.3171711672987,6.82546003625531,6.76503897678054,0,6.18826412308259,0,6.07534603108868,0,6.4118182677099,7.48829351515943,9.32821229257107,4.23410650459726,0,5.09375020080676,0,3.76120011569356,0,0,0,0
4,70,60,9550,7,5,1915,1970,0,216,0,540,756,961,756,0,1717,1,0,1,0,3,1,7,1,1998,3,642,0,35,272,0,0,0,0,2,4,140000,0,1,4,0,3,5,3,1,0,1,3,3,0,4,0,0,3,0,3,0,1,4,4,1,1,0,0,0,0,0,3,1,0,0,0,2,3,1,1,0,1,1,2.10051,-0.693147180559945,5.50649230216832,2.30258509299405,0.762713872436509,3.09104245335832,2.07944154167984,9.3943272080892,8.57414047185799,9.5034576469179,9.53177148447434,11.8494048444231,6.86901445066571,6.62936325343745,0,5.37989735354046,0,6.29341927884648,5.60947179518496,6.46614472423762,7.4489161025442,9.16440114003474,4.11087386417331,0,0,0,3.58351893845611,0,0,0,0
5,60,84,14260,8,5,2000,2000,350,655,0,490,1145,1145,1053,0,2198,1,0,2,1,4,1,9,1,2000,3,836,192,84,0,0,0,0,0,12,2,250000,0,1,3,2,5,5,4,1,0,1,3,4,0,3,1,0,3,1,3,1,1,5,4,1,1,0,0,1,0,1,3,1,0,0,0,3,3,1,1,1,2,2,2.10051,-0.22314355131421,5.50216482892052,2.30258509299405,0.902026041568983,3.2188758248682,2.83321334405622,9.77480154490808,9.12271062201521,9.68040649926887,9.68040649926887,12.4292201968364,7.04403289727469,6.96034772910131,0,6.48616078894409,0,6.19644412779452,0,6.72982407048948,7.69575799055476,9.56528381773677,4.44265125649032,0,5.86078622346587,0,4.44265125649032,0,0,0,5.26269018890489
6,50,85,14115,5,5,1993,1995,0,732,0,64,796,796,566,0,1362,1,0,1,1,1,1,5,0,1993,2,480,40,30,0,320,0,0,700,10,1,143000,0,1,3,0,5,5,4,1,0,1,3,3,1,0,0,0,3,0,3,1,1,5,3,1,1,0,0,0,0,0,3,1,0,0,0,3,3,1,1,0,2,2,1.43116,0.405465108108164,5.61093592428985,1.94591014905531,0.645814595773174,2.77258872223978,1.79175946922805,8.82629423124132,8.28928832300032,9.20693457884135,9.20793748735987,11.8706069022246,6.68085467879022,6.34035930372775,5.77144112313002,6.59714570188665,0,4.17438726989564,0,6.17586727010576,7.21744343169653,9.55506418479516,4.45434729625351,0,0,6.55250788703459,3.43398720448515,0,0,0,3.71357206670431
7,20,75,10084,8,5,2004,2005,186,1369,0,317,1686,1694,0,0,1694,1,0,2,0,3,1,7,1,2004,2,636,255,57,0,0,0,0,0,8,3,307000,0,1,3,2,5,5,5,1,0,1,3,4,0,4,1,0,3,1,3,1,1,5,4,1,1,0,1,1,0,1,3,1,0,0,0,3,3,1,1,0,2,2,1.75985,-0.287682072451781,5.49306144334055,1.94591014905531,0.755540374432256,3.2188758248682,2.83321334405622,9.51436320401602,9.50962981746968,9.68240437718884,9.68290322361684,12.634606283893,7.43543801981455,0,0,7.22256601882217,0,5.76205138278018,0,6.45676965557216,7.43543801981455,9.21880445038831,4.33073334028633,0,5.23110861685459,0,4.06044301054642,0,0,0,5.54517744447956
8,60,65.91,10382,7,6,1973,1973,240,859,32,216,1107,1107,983,0,2090,1,0,2,1,3,1,7,2,1973,2,484,235,204,228,0,0,0,350,11,1,2e+05,0,1,3,1,3,2,4,1,0,1,3,3,0,3,0,0,3,1,3,1,1,5,3,1,1,0,0,1,0,1,3,1,0,0,0,3,3,1,1,0,1,1,2.10051,0,5.70235288184661,1.94591014905531,0.872392291257951,3.09104245335832,2.70805020110221,9.59089784437816,8.95544812234739,9.53329305850988,9.53329305850988,12.2060776455177,7.01031186730723,6.89162589705225,0,6.75693238924755,3.49650756146648,5.37989735354046,5.43372200355424,6.18414889093748,7.64539769942863,9.24792513230345,4.20334843279473,0,5.48479693349065,5.86078622346587,5.32300997913841,0,0,0,5.46383180502561
9,50,51,6120,7,5,1931,1950,0,0,0,952,952,1022,752,0,1774,0,0,2,0,2,2,8,2,1931,2,468,90,0,205,0,0,0,0,4,2,129900,0,1,3,0,4,5,3,1,0,0,3,3,0,3,0,1,3,0,2,0,1,4,3,1,1,0,1,0,0,0,2,1,0,0,0,2,3,1,1,0,2,1,1.43116,0,5.40605006635092,1.6094379124341,0.780272991906911,3.09104245335832,2.70805020110221,9.42698283694803,8.80462523261281,9.5117774096603,9.52156805800298,11.7745279008585,6.93049476595163,6.62406522779989,0,0,0,6.8596149036542,5.32787616878958,6.15060276844628,7.48155570190952,8.71948076085107,3.95124371858143,0,0,0,0,0,0,0,4.51085950651685
10,190,50,7420,5,6,1939,1950,0,851,0,140,991,1077,0,0,1077,1,0,1,0,2,2,5,2,1939,1,205,0,4,0,0,0,0,0,1,2,118000,0,0,3,0,5,5,3,1,0,1,3,3,0,3,0,0,3,1,4,1,1,5,3,1,1,0,1,0,0,0,3,1,0,0,0,3,3,1,1,0,1,1,1.1015,-0.405465108108164,5.37712854697233,1.6094379124341,0.540949200262284,2.77258872223978,1.79175946922805,8.59155827337154,8.50835424274903,9.17946870830909,9.18512512283512,11.6784483779882,6.98286275146894,0,0,6.74758652682932,0,4.94875989037817,0,5.32787616878958,6.98286275146894,8.91206909797013,3.93182563272433,0,0,0,1.6094379124341,0,0,0,0
